model,clip_id,segment_id,speaker_id,condition,noise_type,snr_db,ratio_english_words,ratio_hindi_words,reference,hypothesis,wer,cer,latency_sec
indicwav2vec_hindi,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,clean,none,clean,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,ने के लिए अब राइट क्लिक करें,0.5555555555555556,0.5777777777777777,0.9885005950927734
indicwav2vec_hindi,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,traffic,traffic,15,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,ने के लिए अब राइट क्लिक करें,0.5555555555555556,0.5777777777777777,0.08539366722106934
indicwav2vec_hindi,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,traffic,traffic,10,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,ने के लिए अब राइट क्लिक करें,0.5555555555555556,0.5777777777777777,0.08253812789916992
indicwav2vec_hindi,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,traffic,traffic,5,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,ने के लिए अब राइट क्लिक करें,0.5555555555555556,0.5777777777777777,0.06610536575317383
indicwav2vec_hindi,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,babble,babble,15,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,ने के लिए अब राइट क्लिक करें दैन आय बना छजयम,1.0,0.8444444444444444,0.0527799129486084
indicwav2vec_hindi,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,babble,babble,10,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,े के लिए अ राइट क्लिक करें वउंदेव द्वारकवास सिंप शे कोंश्टम टूरिस्ट,1.3333333333333333,1.2222222222222223,0.05714082717895508
indicwav2vec_hindi,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,babble,babble,5,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,े के लिए अपकि प्लाइन मले करेंगे नूस्क पोल् से यूसी शहताज,1.3333333333333333,1.0222222222222221,0.0557246208190918
indicwav2vec_hindi,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,indoor,indoor,15,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,ने के लिए अब राइट क्लिक करें,0.5555555555555556,0.5777777777777777,0.05672955513000488
indicwav2vec_hindi,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,indoor,indoor,10,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,ने के लिए अब राइट क्लिक करें,0.5555555555555556,0.5777777777777777,0.05281639099121094
indicwav2vec_hindi,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,indoor,indoor,5,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,ने के लिए अब राइट क्लिक करें,0.5555555555555556,0.5777777777777777,0.05581045150756836
indicwav2vec_hindi,clip_0001,478254_aVTioioyNUVPGF4t_0153,478254,clean,none,clean,0.1666666666666666,0.8333333333333334,अच्छी bandwidth न मिलने पर आप इसे download करके देख सकते हैं,ांकचित करता है अच्छी बैंडविट्ट न मिलने पर आप इसे डाउनलोड करके देख सकते हैं सके,0.5,0.6,0.08485841751098633
indicwav2vec_hindi,clip_0001,478254_aVTioioyNUVPGF4t_0153,478254,traffic,traffic,15,0.1666666666666666,0.8333333333333334,अच्छी bandwidth न मिलने पर आप इसे download करके देख सकते हैं,ांशचित करता है अच्छी बैंडविट न मिलने पर आप इसे डाउनलोड करके देख सकते हैं इसके,0.5,0.6166666666666667,0.08212876319885254
